time,ticker,volume,open,curr
2018-07-29T18:00:00Z,AAVL,14688,19,24
2018-07-29T18:00:00Z,ACFI,1000,14,12
2018-07-29T18:00:00Z,BB,1000,13,13
2018-07-29T18:00:00Z,BOTT,354227,15,16
2018-07-29T18:00:00Z,BUZZ,7825,26,20
2018-07-29T18:00:00Z,CHIA,3409,61,69
2018-07-29T18:00:00Z,CHPS,149600,8,10
2018-07-29T18:00:00Z,COFL,81200,12,10
2018-07-29T18:00:00Z,CYBU,0,6,6
2018-07-29T18:00:00Z,DROO,4000,12,13
2018-07-29T18:00:00Z,EEEEE,201712,15,14
2018-07-29T18:00:00Z,FAER,79250,10,11
2018-07-29T18:00:00Z,FISH,1631,38,46
2018-07-29T18:00:00Z,HELT,8975,20,19
2018-07-29T18:00:00Z,HUW,0,7,9
2018-07-29T18:00:00Z,KAUF,17155,18,17
2018-07-29T18:00:00Z,KBAT,0,8,8
2018-07-29T18:00:00Z,KSON,1101,1054,1064
2018-07-29T18:00:00Z,LDSC,200,12,13
2018-07-29T18:00:00Z,LUPE,57050,10,9
2018-07-29T18:00:00Z,MPC,0,6,6
2018-07-29T18:00:00Z,MYNC,2500,12,12
2018-07-29T18:00:00Z,NAKR,0,13,12
2018-07-29T18:00:00Z,NATN,73050,10,10
2018-07-29T18:00:00Z,PDSS,455363,15,16
2018-07-29T18:00:00Z,PEOP,7700,12,12
2018-07-29T18:00:00Z,POWR,0,8,7
2018-07-29T18:00:00Z,SHRX,116552,14,12
2018-07-29T18:00:00Z,SKBD,37600,11,12
2018-07-29T18:00:00Z,SKEI,0,6,7
2018-07-29T18:00:00Z,SMUG,906861,14,15
2018-07-29T18:00:00Z,SSS,3300,33,29
2018-07-29T18:00:00Z,STFP,0,14,14
2018-07-29T18:00:00Z,SWNC,7031,50,49
2018-07-29T18:00:00Z,TAG,3828,189,195
2018-07-29T18:00:00Z,TNAH,724741,13,15
2018-07-29T18:00:00Z,TNPT,43600,12,11
2018-07-29T18:00:00Z,TPEG,1400,30,29
2018-07-29T18:00:00Z,TPP,0,13,13
2018-07-29T18:00:00Z,TSRC,1600,43,44
2018-07-29T18:00:00Z,UNIB,118150,9,10
2018-07-29T18:00:00Z,VPTS,1024,1563,1561
2018-07-29T18:00:00Z,YIPP,0,9,8
2018-07-29T18:30:00Z,AAVL,14688,19,24
2018-07-29T18:30:00Z,ACFI,1000,14,12
2018-07-29T18:30:00Z,BB,1000,13,13
2018-07-29T18:30:00Z,BOTT,364347,15,15
2018-07-29T18:30:00Z,BUZZ,7844,26,19
2018-07-29T18:30:00Z,CHIA,3409,61,71
2018-07-29T18:30:00Z,CHPS,159600,8,10
2018-07-29T18:30:00Z,COFL,86200,12,10
2018-07-29T18:30:00Z,CYBU,0,6,6
2018-07-29T18:30:00Z,DROO,4000,12,13
2018-07-29T18:30:00Z,EEEEE,201712,15,14
2018-07-29T18:30:00Z,FAER,82250,10,10
2018-07-29T18:30:00Z,FISH,1631,38,48
2018-07-29T18:30:00Z,HELT,8975,20,19
2018-07-29T18:30:00Z,HUW,0,7,9
2018-07-29T18:30:00Z,KAUF,18155,18,17
2018-07-29T18:30:00Z,KBAT,0,8,8
2018-07-29T18:30:00Z,KSON,3101,1054,1066
2018-07-29T18:30:00Z,LDSC,200,12,14
2018-07-29T18:30:00Z,LUPE,57050,10,9
2018-07-29T18:30:00Z,MPC,0,6,6
